day,date,pccpue
-10,2016-05-21,0.9315959345066686
-9,2016-05-22,1.098694263059318
-8,2016-05-23,1.295372753069587
-7,2016-05-24,1.5267153880374444
-6,2016-05-25,1.798620996209156
-5,2016-05-26,2.11791104550677
-4,2016-05-27,2.4924426647114037
-3,2016-05-28,2.931223075135632
-2,2016-05-29,3.444519566621117
-1,2016-05-30,4.043956481800324
0,2016-05-31,4.742587317756678
1,2016-06-01,5.554926015761175
2,2016-06-02,6.496916912866407
3,2016-06-03,7.585818002124355
4,2016-06-04,8.839967720705841
5,2016-06-05,10.278402491725178
6,2016-06-06,11.920292202211755
7,2016-06-07,13.784165696493572
8,2016-06-08,15.886910488091516
9,2016-06-09,18.242552380635637
10,2016-06-10,20.860852732604496
11,2016-06-11,23.74580283439025
12,2016-06-12,26.89414213699951
13,2016-06-13,30.294071603459273
14,2016-06-14,33.92436312341828
15,2016-06-15,37.75406687981454
16,2016-06-16,41.742979353768526
17,2016-06-17,45.84295167832001
18,2016-06-18,50
19,2016-06-19,54.15704832167999
20,2016-06-20,58.257020646231474
21,2016-06-21,62.24593312018546
22,2016-06-22,66.07563687658173
23,2016-06-23,69.70592839654074
24,2016-06-24,73.1058578630005
25,2016-06-25,76.25419716560975
26,2016-06-26,79.1391472673955
27,2016-06-27,81.75744761936437
28,2016-06-28,84.11308951190848
29,2016-06-29,86.21583430350643
30,2016-06-30,88.07970779778823
31,2016-07-01,89.72159750827483
32,2016-07-02,91.16003227929417
33,2016-07-03,92.41418199787566
34,2016-07-04,93.5030830871336
35,2016-07-05,94.44507398423882
36,2016-07-06,95.25741268224334
37,2016-07-07,95.95604351819968
38,2016-07-08,96.55548043337889
39,2016-07-09,97.06877692486437
40,2016-07-10,97.5075573352886
41,2016-07-11,97.88208895449324
42,2016-07-12,98.20137900379085
43,2016-07-13,98.47328461196255
44,2016-07-14,98.70462724693041
45,2016-07-15,98.90130573694069
46,2016-07-16,99.06840406549333
47,2016-07-17,99.21029164925812
48,2016-07-18,99.33071490757153
49,2016-07-19,99.4328796986259
50,2016-07-20,99.51952471128405
